RTT,RTO,Diferencia RTT-RTO
500.0,1000.0,500.0
750.0,1500.0,750.0
500.0,1562.5,1062.5
500.0,1359.375,859.375
500.0,1191.40625,691.40625
500.0,1053.7109375,553.7109375
490.0,941.650390625,451.650390625
490.0,858.513183594,368.513183594
500.0,788.716430664,288.716430664
500.0,723.285980225,223.285980225
500.0,672.525978088,172.525978088
490.0,633.190603256,143.190603256
490.0,610.24004221,120.24004221
490.0,589.815348983,99.8153489828
500.0,572.087999731,72.0879997313
500.0,558.646133803,58.6461338028
500.0,547.419700855,47.4197008554
490.0,538.141101019,48.141101019
490.0,534.173581731,44.1735817312
500.0,529.181003274,29.1810032736
500.0,527.347639724,27.3476397238
500.0,524.607145244,24.6071452443
500.0,521.527670522,21.5276705218
500.0,518.449986583,18.4499865828
500.0,515.565665206,15.5656652057
500.0,512.970380356,12.9703803557
500.0,510.699883855,10.6998838554
490.0,509.453194544,19.4531945439
490.0,513.518684669,23.5186846686
500.0,514.728909409,14.7289094094
490.0,515.729260126,25.7292601261
