RTT,RTO,Diferencia RTT-RTO
740.0,1000.0,260.0
490.0,2220.0,1730.0
500.0,1875.0,1375.0
500.0,1536.5,1036.5
490.0,1277.9,787.9
490.0,1084.4775,594.4775
490.0,936.213375,446.213375
500.0,824.69555625,324.69555625
490.0,760.004919687,270.004919687
490.0,695.654045016,205.654045016
490.0,644.555569287,154.555569287
500.0,605.948180518,105.948180518
500.0,595.946283713,95.9462837134
500.0,573.608227618,73.6082276176
490.0,555.371022196,65.3710221964
490.0,542.524769798,52.5247697977
490.0,529.743227663,39.7432276633
500.0,519.842385779,19.842385779
490.0,531.365305819,41.3653058194
500.0,524.174329015,24.1743290149
500.0,533.145581926,33.145581926
500.0,526.360669961,26.360669961
500.0,519.920650822,19.9206508224
500.0,514.955502952,14.955502952
500.0,511.218128697,11.2181286975
500.0,509.9999909,9.9999909001
490.0,509.99999909,19.99999909
490.0,505.732743445,15.7327434453
500.0,502.149557552,2.14955755215
500.0,517.947168179,17.9471681791
500.0,515.093876136,15.0938761358
500.0,511.483757102,11.483757102
500.0,509.99901,9.99901
490.0,509.999901,19.999901
500.0,505.85508894,5.85508893993
490.0,519.24133304,29.2413330399
500.0,515.115999433,15.1159994335
500.0,526.335499738,26.3354997384
500.0,521.25147482,21.2514748202
490.0,516.088591117,26.0885911168
500.0,513.063261838,13.0632618375
250.0,524.648946228,274.648946228
250.0,543.171677856,293.171677856
490.0,957.194510421,467.194510421
490.0,873.337792908,383.337792908
500.0,816.692329831,316.692329831
240.0,757.938145888,517.938145888
490.0,719.020481266,229.020481266
490.0,1031.56954993,541.569549934
490.0,933.157581349,443.157581349
240.0,826.066227902,586.066227902
240.0,766.971227614,526.971227614
250.0,643.970576379,393.970576379
500.0,557.856630326,57.8566303261
500.0,957.130342549,457.130342549
490.0,884.221543892,394.221543892
500.0,788.288532135,288.288532135
500.0,731.480136971,231.480136971
500.0,675.136476515,175.136476515
500.0,631.504994765,131.504994765
500.0,598.644009812,98.6440098116
500.0,573.984533732,73.9845337325
500.0,555.488552937,55.4885529367
500.0,541.616429966,41.6164299663
500.0,531.212324001,31.2123240011
500.0,523.409243153,23.4092431535
500.0,517.55693238,17.5569323804
500.0,513.167699287,13.1676992868
500.0,510.0,9.99999999999
500.0,510.0,10.0
500.0,510.0,10.0
490.0,510.0,20.0
500.0,504.124756764,4.1247567644
250.0,517.943567573,267.943567573
750.0,538.14267568,211.85732432
500.0,1375.00550676,875.00550676
500.0,1227.12598007,727.12598007
250.0,1052.43167005,802.431670052
750.0,940.032471039,190.032471039
500.0,1675.94024313,1175.94024313
500.0,1452.83726953,952.837269532
500.0,1221.71616087,721.716160868
500.0,1041.99594152,541.995941523
500.0,906.567838229,406.567838229
500.0,804.932966881,304.932966881
500.0,728.700433981,228.700433981
500.0,671.525396368,171.525396368
490.0,628.644054364,138.644054364
490.0,597.483041482,107.483041482
490.0,570.962281182,80.9622811824
500.0,550.756710894,50.7567108939
500.0,554.551033167,54.5510331671
500.0,542.561624875,42.561624875
490.0,532.086053656,42.0860536562
490.0,525.061043742,35.0610437421
490.0,516.645433157,26.6454331566
490.0,510.019039902,20.0190399025
500.0,505.01777643,5.01777643034
500.0,520.261683971,20.2616839711
500.0,516.846098143,16.8460981432
500.0,512.799557124,12.7995571239
500.0,509.9990001,9.9990000999
500.0,509.99990001,9.99990000999
490.0,509.999990001,19.999990001
500.0,505.057868384,5.05786838359
500.0,518.643402938,18.6434029375
500.0,515.467552368,15.4675523681
500.0,511.749164293,11.7491642926
490.0,509.9991,19.9990999999
500.0,507.619727416,7.61972741579
500.0,520.564944062,20.5649440619
500.0,516.908722896,16.9087228964
500.0,512.830043657,12.8300436573
500.0,509.999099991,9.999099991
500.0,509.999909999,9.9999099991
500.0,509.999991,9.99999099991
500.0,509.9999991,9.99999909999
